1.000000000000000000e+02 -3.158233310391214133e-01
9.404448517263517715e+01 -3.044679003941103135e-01
8.844365191385999481e+01 -2.953937410847927714e-01
8.317637711026708303e+01 -2.881057511670920279e-01
7.822279563860026030e+01 -2.822437321279417932e-01
7.356422544596414070e+01 -2.775393010391916659e-01
6.918309709189365719e+01 -2.737882545183880634e-01
6.506288748655570942e+01 -2.708322909698099301e-01
6.118805757518219224e+01 -2.685465928668244184e-01
5.754399373371569482e+01 -2.668311868109402574e-01
5.411695265464637572e+01 -2.656048019849331365e-01
5.089400951518089045e+01 -2.648004185407621947e-01
4.786300923226382764e+01 -2.643619820704220524e-01
4.501252062061336545e+01 -2.642419369645081506e-01
4.233179328088208138e+01 -2.643993437683925807e-01
3.981071705534973404e+01 -2.647984185911228527e-01
3.743978389823811170e+01 -2.654073809357754277e-01
3.521005201684519648e+01 -2.661975288714418242e-01
3.311311214825911264e+01 -2.671424827634696908e-01
3.114105584446758357e+01 -2.682175542460438211e-01
2.928644564625237479e+01 -2.693992080009139922e-01
2.754228703338166184e+01 -2.706645916207003899e-01
2.590200204531323891e+01 -2.719911143674583198e-01
2.435940447292027500e+01 -2.733560596036359036e-01
2.290867652767772000e+01 -2.747362185421849956e-01
2.154434690031883193e+01 -2.761075350106353410e-01
2.026127012621143564e+01 -2.774447523820292028e-01
1.905460717963246253e+01 -2.787210548267432531e-01
1.791980722375334167e+01 -2.799076956988922893e-01
1.685259044750750945e+01 -2.809736062549648694e-01
1.584893192461113287e+01 -2.818849780704317243e-01
1.490504643386196193e+01 -2.826048125038942982e-01
1.401737418346769637e+01 -2.830924303887192295e-01
1.318256738556407370e+01 -2.833029348252852353e-01
1.239747763028944050e+01 -2.831866195179659207e-01
1.165914401179831650e+01 -2.826883145529229813e-01
1.096478196143185180e+01 -2.817466608599046851e-01
1.031177274593054705e+01 -2.802933038382665609e-01
9.697653591082490365e+00 -2.782519957642145547e-01
9.120108393559098303e+00 -2.755375956287386408e-01
8.576958985908941457e+00 -2.720549539928408533e-01
8.066156921766131305e+00 -2.676976692888220488e-01
7.585775750291835706e+00 -2.623467007500815962e-01
7.134003750712560432e+00 -2.558688218282650917e-01
6.709137099554111749e+00 -2.481148965731113931e-01
6.309573444801929831e+00 -2.389179600208732324e-01
5.933805862753278149e+00 -2.280910821988032244e-01
5.580417174769963573e+00 -2.154249939423652782e-01
5.248074602497726282e+00 -2.006854513916518090e-01
4.935524741394806014e+00 -1.836103148556967324e-01
4.641588833612777520e+00 -1.639063167989511793e-01
4.365158322401658353e+00 -1.412454931259957414e-01
4.105190671273078351e+00 -1.152612518703231698e-01
3.860705432153813010e+00 -8.554405400708994800e-02
3.630780547701012217e+00 -5.163668263684559334e-02
3.414548873833600950e+00 -1.302907949443623918e-02
3.211194909364822436e+00 3.084726803299112433e-02
3.019951720402016093e+00 8.062540007882205984e-02
2.840098047914213275e+00 1.370094198726192480e-01
2.670955587558983879e+00 2.007814825765114886e-01
2.511886431509579687e+00 2.728092134207740771e-01
2.362290662634461746e+00 3.540535122515149347e-01
2.221604091955810656e+00 4.455766779004681211e-01
2.089296130854038758e+00 5.485507566191358819e-01
1.964867789993467007e+00 6.642659835302650029e-01
1.847849797422290719e+00 7.941391441073734070e-01
1.737800828749375359e+00 9.397216337204407077e-01
1.634305842723136948e+00 1.102706937231041850e+00
1.536974515935271013e+00 1.284937187831102445e+00
1.445439770745927222e+00 1.488408395740080881e+00
1.359356390878525556e+00 1.715273864659768499e+00
1.278399719463022999e+00 1.967845239576766492e+00
1.202264434617412725e+00 2.248590557108754773e+00
1.130663397949638771e+00 2.560128603634172162e+00
1.063326571637161155e+00 2.905218832374622639e+00
1.000000000000000000e+00 3.286746054513107307e+00
9.404448517263513940e-01 3.707699107669817806e+00
8.844365191385989977e-01 4.171142723458773460e+00
8.317637711026708569e-01 4.680181868934588429e+00
7.822279563860021767e-01 5.237917926605324404e+00
7.356422544596413760e-01 5.847396203033660811e+00
6.918309709189363055e-01 6.511544411218453732e+00
6.506288748655566501e-01 7.233101946496312884e+00
6.118805757518217536e-01 8.014539954492638785e+00
5.754399373371565929e-01 8.857972353728008841e+00
5.411695265464637750e-01 9.765058103863539785e+00
5.089400951518088245e-01 1.073689508256623881e+01
4.786300923226380899e-01 1.177390593205798730e+01
4.501252062061336656e-01 1.287571614888770632e+01
4.233179328088206850e-01 1.404102451357081272e+01
3.981071705534969252e-01 1.526746569573206180e+01
3.743978389823810482e-01 1.655146453927252637e+01
3.521005201684517250e-01 1.788808115212530581e+01
3.311311214825911065e-01 1.927084552244442506e+01
3.114105584446758557e-01 2.069157998554860001e+01
2.928644564625234592e-01 2.214020750087295042e+01
2.754228703338166273e-01 2.360454339015511493e+01
2.590200204531322714e-01 2.507006795834637458e+01
2.435940447292027078e-01 2.651967728583319683e+01
2.290867652767772378e-01 2.793340946229922750e+01
2.154434690031882260e-01 2.928814364920609137e+01
2.026127012621143086e-01 3.055726963638959504e+01
1.905460717963246287e-01 3.171032603751515566e+01
1.791980722375332291e-01 3.271260600631310922e+01
1.685259044750750945e-01 3.352473043411927733e+01
1.584893192461112599e-01 3.410219012955181483e+01
1.490504643386195982e-01 3.439486065431882622e+01
1.401737418346769015e-01 3.434649653719992557e+01
1.318256738556406182e-01 3.389421585270146409e+01
1.239747763028943989e-01 3.296799211485930670e+01
1.165914401179831139e-01 3.149017878733534204e+01
1.096478196143183953e-01 2.937510343376401778e+01
1.031177274593054888e-01 2.652878505459689862e+01
9.697653591082486257e-02 2.284885157036326930e+01
9.120108393559096804e-02 1.822476782291218456e+01
8.576958985908937627e-02 1.253853255797796429e+01
8.066156921766126642e-02 5.666072797547272444e+00
7.585775750291835762e-02 -2.520333000454045624e+00
7.134003750712557268e-02 -1.214811775253521553e+01
6.709137099554110528e-02 -2.333825559446214015e+01
6.309573444801930275e-02 -3.619577790673103834e+01
5.933805862753274707e-02 -5.079532151801628004e+01
5.580417174769963795e-02 -6.715912374923297534e+01
5.248074602497723035e-02 -8.522331986522569025e+01
4.935524741394801268e-02 -1.047856966896992930e+02
4.641588833612777382e-02 -1.254231809256209829e+02
4.365158322401656299e-02 -1.463581138999343523e+02
4.105190671273078323e-02 -1.662338772158318818e+02
3.860705432153811734e-02 -1.827207352006810481e+02
3.630780547701010358e-02 -1.917798550240073041e+02
3.414548873833600506e-02 -1.861707441883751812e+02
3.211194909364820799e-02 -1.520528450711324808e+02
3.019951720402016052e-02 -5.979182251636267154e+01
2.840098047914213844e-02 1.692011719303341408e+02
2.670955587558982575e-02 8.889104537342594767e+02
